"Election Name","County Name","Office Name","District Name","Party Name","Candidate Name","Votes","Yes Votes","No Votes"
"2016 Presidential Election","ADAMS","Representative in Congress","4th Congressional District","Democratic","BURKHOLDER, JOSHUA T ","12,814","0","0"
"2016 Presidential Election","ADAMS","Representative in Congress","4th Congressional District","Republican","PERRY, SCOTT ","33,788","0","0"
"2016 Presidential Election","ALLEGHENY","Representative in Congress","12th Congressional District","Democratic","MCCLELLAND, ERIN R ","60,479","0","0"
"2016 Presidential Election","ALLEGHENY","Representative in Congress","12th Congressional District","Republican","ROTHFUS, KEITH JAMES ","84,879","0","0"
"2016 Presidential Election","ALLEGHENY","Representative in Congress","14th Congressional District","Democratic","DOYLE, MICHAEL F. JR.","250,859","0","0"
"2016 Presidential Election","ALLEGHENY","Representative in Congress","14th Congressional District","Republican","MCALLISTER, LEONARD FRANCIS JR","85,068","0","0"
"2016 Presidential Election","ALLEGHENY","Representative in Congress","18th Congressional District","Republican","MURPHY , TIMOTHY  F ","122,858","0","0"
"2016 Presidential Election","ARMSTRONG","Representative in Congress","3rd Congressional District","Republican","KELLY, GEORGE J JR","26,957","0","0"
"2016 Presidential Election","BEAVER","Representative in Congress","12th Congressional District","Democratic","MCCLELLAND, ERIN R ","34,109","0","0"
"2016 Presidential Election","BEAVER","Representative in Congress","12th Congressional District","Republican","ROTHFUS, KEITH JAMES ","48,729","0","0"
"2016 Presidential Election","BEDFORD","Representative in Congress","9th Congressional District","Democratic","HALVORSON, ART ","8,811","0","0"
"2016 Presidential Election","BEDFORD","Representative in Congress","9th Congressional District","Republican","SHUSTER, WILLIAM F ","14,343","0","0"
"2016 Presidential Election","BERKS","Representative in Congress","6th Congressional District","Democratic","PARRISH, MICHAEL D ","32,499","0","0"
"2016 Presidential Election","BERKS","Representative in Congress","6th Congressional District","Republican","COSTELLO, RYAN A ","51,749","0","0"
"2016 Presidential Election","BERKS","Representative in Congress","7th Congressional District","Democratic","BALCHUNIS, MARY ELLEN ","9,390","0","0"
"2016 Presidential Election","BERKS","Representative in Congress","7th Congressional District","Republican","MEEHAN, PATRICK  L ","19,735","0","0"
"2016 Presidential Election","BERKS","Representative in Congress","15th Congressional District","Democratic","DAUGHERTY, RICHARD D ","7,180","0","0"
"2016 Presidential Election","BERKS","Representative in Congress","15th Congressional District","Republican","DENT, CHARLES W ","16,864","0","0"
"2016 Presidential Election","BERKS","Representative in Congress","15th Congressional District","Libertarian","RIZZO, PAUL ","887","0","0"
"2016 Presidential Election","BERKS","Representative in Congress","16th Congressional District","Democratic","HARTMAN, CHRISTINA M ","25,068","0","0"
"2016 Presidential Election","BERKS","Representative in Congress","16th Congressional District","Republican","SMUCKER, LLOYD K ","10,846","0","0"
"2016 Presidential Election","BERKS","Representative in Congress","16th Congressional District","Libertarian","HOUSE, SHAWN PATRICK ","902","0","0"
"2016 Presidential Election","BLAIR","Representative in Congress","9th Congressional District","Democratic","HALVORSON, ART ","19,888","0","0"
"2016 Presidential Election","BLAIR","Representative in Congress","9th Congressional District","Republican","SHUSTER, WILLIAM F ","33,679","0","0"
"2016 Presidential Election","BRADFORD","Representative in Congress","10th Congressional District","Democratic","MOLESEVICH, MICHAEL M ","6,159","0","0"
"2016 Presidential Election","BRADFORD","Representative in Congress","10th Congressional District","Republican","MARINO, THOMAS A ","19,201","0","0"
"2016 Presidential Election","BUCKS","Representative in Congress","8th Congressional District","Democratic","SANTARSIERO, STEVEN J ","156,527","0","0"
"2016 Presidential Election","BUCKS","Representative in Congress","8th Congressional District","Republican","FITZPATRICK, BRIAN K ","182,120","0","0"
"2016 Presidential Election","BUTLER","Representative in Congress","3rd Congressional District","Republican","KELLY, GEORGE J JR","80,065","0","0"
"2016 Presidential Election","CAMBRIA","Representative in Congress","9th Congressional District","Democratic","HALVORSON, ART ","3,874","0","0"
"2016 Presidential Election","CAMBRIA","Representative in Congress","9th Congressional District","Republican","SHUSTER, WILLIAM F ","8,440","0","0"
"2016 Presidential Election","CAMBRIA","Representative in Congress","12th Congressional District","Democratic","MCCLELLAND, ERIN R ","17,669","0","0"
"2016 Presidential Election","CAMBRIA","Representative in Congress","12th Congressional District","Republican","ROTHFUS, KEITH JAMES ","32,492","0","0"
"2016 Presidential Election","CAMERON","Representative in Congress","5th Congressional District","Democratic","STRANO TAYLOR, KERITH ","526","0","0"
"2016 Presidential Election","CAMERON","Representative in Congress","5th Congressional District","Republican","THOMPSON, GLENN WILLIAM JR.","1,620","0","0"
"2016 Presidential Election","CARBON","Representative in Congress","11th Congressional District","Democratic","MARSICANO, MICHAEL PAUL ","2,508","0","0"
"2016 Presidential Election","CARBON","Representative in Congress","11th Congressional District","Republican","BARLETTA, LOU ","5,795","0","0"
"2016 Presidential Election","CARBON","Representative in Congress","17th Congressional District","Democratic","CARTWRIGHT, MATTHEW ALTON ","8,431","0","0"
"2016 Presidential Election","CARBON","Representative in Congress","17th Congressional District","Republican","CONNOLLY, MATTHEW ","11,033","0","0"
"2016 Presidential Election","CENTRE","Representative in Congress","5th Congressional District","Democratic","STRANO TAYLOR, KERITH ","33,383","0","0"
"2016 Presidential Election","CENTRE","Representative in Congress","5th Congressional District","Republican","THOMPSON, GLENN WILLIAM JR.","41,437","0","0"
"2016 Presidential Election","CHESTER","Representative in Congress","6th Congressional District","Democratic","PARRISH, MICHAEL D ","77,483","0","0"
"2016 Presidential Election","CHESTER","Representative in Congress","6th Congressional District","Republican","COSTELLO, RYAN A ","92,513","0","0"
"2016 Presidential Election","CHESTER","Representative in Congress","7th Congressional District","Democratic","BALCHUNIS, MARY ELLEN ","19,863","0","0"
"2016 Presidential Election","CHESTER","Representative in Congress","7th Congressional District","Republican","MEEHAN, PATRICK  L ","32,597","0","0"
"2016 Presidential Election","CHESTER","Representative in Congress","16th Congressional District","Democratic","HARTMAN, CHRISTINA M ","23,315","0","0"
"2016 Presidential Election","CHESTER","Representative in Congress","16th Congressional District","Republican","SMUCKER, LLOYD K ","19,920","0","0"
"2016 Presidential Election","CHESTER","Representative in Congress","16th Congressional District","Libertarian","HOUSE, SHAWN PATRICK ","1,690","0","0"
"2016 Presidential Election","CLARION","Representative in Congress","3rd Congressional District","Republican","KELLY, GEORGE J JR","4,900","0","0"
"2016 Presidential Election","CLARION","Representative in Congress","5th Congressional District","Democratic","STRANO TAYLOR, KERITH ","3,168","0","0"
"2016 Presidential Election","CLARION","Representative in Congress","5th Congressional District","Republican","THOMPSON, GLENN WILLIAM JR.","8,556","0","0"
"2016 Presidential Election","CLEARFIELD","Representative in Congress","5th Congressional District","Democratic","STRANO TAYLOR, KERITH ","8,653","0","0"
"2016 Presidential Election","CLEARFIELD","Representative in Congress","5th Congressional District","Republican","THOMPSON, GLENN WILLIAM JR.","25,186","0","0"
"2016 Presidential Election","CLINTON","Representative in Congress","5th Congressional District","Democratic","STRANO TAYLOR, KERITH ","4,530","0","0"
"2016 Presidential Election","CLINTON","Representative in Congress","5th Congressional District","Republican","THOMPSON, GLENN WILLIAM JR.","10,579","0","0"
"2016 Presidential Election","COLUMBIA","Representative in Congress","11th Congressional District","Democratic","MARSICANO, MICHAEL PAUL ","9,251","0","0"
"2016 Presidential Election","COLUMBIA","Representative in Congress","11th Congressional District","Republican","BARLETTA, LOU ","18,873","0","0"
"2016 Presidential Election","CRAWFORD","Representative in Congress","3rd Congressional District","Republican","KELLY, GEORGE J JR","27,687","0","0"
"2016 Presidential Election","CRAWFORD","Representative in Congress","5th Congressional District","Democratic","STRANO TAYLOR, KERITH ","611","0","0"
