"Election Name","County Name","Office Name","District Name","Party Name","Candidate Name","Votes","Yes Votes","No Votes"
"2016 Presidential Election","CRAWFORD","Representative in Congress","5th Congressional District","Republican","THOMPSON, GLENN WILLIAM JR.","1,428","0","0"
"2016 Presidential Election","CUMBERLAND","Representative in Congress","4th Congressional District","Democratic","BURKHOLDER, JOSHUA T ","23,397","0","0"
"2016 Presidential Election","CUMBERLAND","Representative in Congress","4th Congressional District","Republican","PERRY, SCOTT ","42,760","0","0"
"2016 Presidential Election","CUMBERLAND","Representative in Congress","11th Congressional District","Democratic","MARSICANO, MICHAEL PAUL ","18,791","0","0"
"2016 Presidential Election","CUMBERLAND","Representative in Congress","11th Congressional District","Republican","BARLETTA, LOU ","35,621","0","0"
"2016 Presidential Election","DAUPHIN","Representative in Congress","4th Congressional District","Democratic","BURKHOLDER, JOSHUA T ","14,192","0","0"
"2016 Presidential Election","DAUPHIN","Representative in Congress","4th Congressional District","Republican","PERRY, SCOTT ","3,004","0","0"
"2016 Presidential Election","DAUPHIN","Representative in Congress","11th Congressional District","Democratic","MARSICANO, MICHAEL PAUL ","33,763","0","0"
"2016 Presidential Election","DAUPHIN","Representative in Congress","11th Congressional District","Republican","BARLETTA, LOU ","41,524","0","0"
"2016 Presidential Election","DAUPHIN","Representative in Congress","15th Congressional District","Democratic","DAUGHERTY, RICHARD D ","11,367","0","0"
"2016 Presidential Election","DAUPHIN","Representative in Congress","15th Congressional District","Republican","DENT, CHARLES W ","21,565","0","0"
"2016 Presidential Election","DAUPHIN","Representative in Congress","15th Congressional District","Libertarian","RIZZO, PAUL ","836","0","0"
"2016 Presidential Election","DELAWARE","Representative in Congress","1st Congressional District","Democratic","BRADY, ROBERT A ","62,517","0","0"
"2016 Presidential Election","DELAWARE","Representative in Congress","1st Congressional District","Republican","WILLIAMS, DEBORAH L ","16,100","0","0"
"2016 Presidential Election","DELAWARE","Representative in Congress","7th Congressional District","Democratic","BALCHUNIS, MARY ELLEN ","87,951","0","0"
"2016 Presidential Election","DELAWARE","Representative in Congress","7th Congressional District","Republican","MEEHAN, PATRICK  L ","123,514","0","0"
"2016 Presidential Election","ELK","Representative in Congress","5th Congressional District","Democratic","STRANO TAYLOR, KERITH ","4,013","0","0"
"2016 Presidential Election","ELK","Representative in Congress","5th Congressional District","Republican","THOMPSON, GLENN WILLIAM JR.","10,231","0","0"
"2016 Presidential Election","ERIE","Representative in Congress","3rd Congressional District","Republican","KELLY, GEORGE J JR","42,110","0","0"
"2016 Presidential Election","ERIE","Representative in Congress","5th Congressional District","Democratic","STRANO TAYLOR, KERITH ","21,235","0","0"
"2016 Presidential Election","ERIE","Representative in Congress","5th Congressional District","Republican","THOMPSON, GLENN WILLIAM JR.","31,384","0","0"
"2016 Presidential Election","FAYETTE","Representative in Congress","9th Congressional District","Democratic","HALVORSON, ART ","18,970","0","0"
"2016 Presidential Election","FAYETTE","Representative in Congress","9th Congressional District","Republican","SHUSTER, WILLIAM F ","31,772","0","0"
"2016 Presidential Election","FOREST","Representative in Congress","5th Congressional District","Democratic","STRANO TAYLOR, KERITH ","640","0","0"
"2016 Presidential Election","FOREST","Representative in Congress","5th Congressional District","Republican","THOMPSON, GLENN WILLIAM JR.","1,716","0","0"
"2016 Presidential Election","FRANKLIN","Representative in Congress","9th Congressional District","Democratic","HALVORSON, ART ","22,461","0","0"
"2016 Presidential Election","FRANKLIN","Representative in Congress","9th Congressional District","Republican","SHUSTER, WILLIAM F ","45,109","0","0"
"2016 Presidential Election","FULTON","Representative in Congress","9th Congressional District","Democratic","HALVORSON, ART ","1,914","0","0"
"2016 Presidential Election","FULTON","Representative in Congress","9th Congressional District","Republican","SHUSTER, WILLIAM F ","4,756","0","0"
"2016 Presidential Election","GREENE","Representative in Congress","9th Congressional District","Democratic","HALVORSON, ART ","2,217","0","0"
"2016 Presidential Election","GREENE","Representative in Congress","9th Congressional District","Republican","SHUSTER, WILLIAM F ","4,776","0","0"
"2016 Presidential Election","GREENE","Representative in Congress","18th Congressional District","Republican","MURPHY , TIMOTHY  F ","6,635","0","0"
"2016 Presidential Election","HUNTINGDON","Representative in Congress","5th Congressional District","Democratic","STRANO TAYLOR, KERITH ","3,549","0","0"
"2016 Presidential Election","HUNTINGDON","Representative in Congress","5th Congressional District","Republican","THOMPSON, GLENN WILLIAM JR.","10,586","0","0"
"2016 Presidential Election","HUNTINGDON","Representative in Congress","9th Congressional District","Democratic","HALVORSON, ART ","1,386","0","0"
"2016 Presidential Election","HUNTINGDON","Representative in Congress","9th Congressional District","Republican","SHUSTER, WILLIAM F ","3,792","0","0"
"2016 Presidential Election","INDIANA","Representative in Congress","9th Congressional District","Democratic","HALVORSON, ART ","16,320","0","0"
"2016 Presidential Election","INDIANA","Representative in Congress","9th Congressional District","Republican","SHUSTER, WILLIAM F ","19,336","0","0"
"2016 Presidential Election","JEFFERSON","Representative in Congress","5th Congressional District","Democratic","STRANO TAYLOR, KERITH ","4,428","0","0"
"2016 Presidential Election","JEFFERSON","Representative in Congress","5th Congressional District","Republican","THOMPSON, GLENN WILLIAM JR.","14,792","0","0"
"2016 Presidential Election","JUNIATA","Representative in Congress","10th Congressional District","Democratic","MOLESEVICH, MICHAEL M ","1,855","0","0"
"2016 Presidential Election","JUNIATA","Representative in Congress","10th Congressional District","Republican","MARINO, THOMAS A ","8,266","0","0"
"2016 Presidential Election","LACKAWANNA","Representative in Congress","10th Congressional District","Democratic","MOLESEVICH, MICHAEL M ","13,440","0","0"
"2016 Presidential Election","LACKAWANNA","Representative in Congress","10th Congressional District","Republican","MARINO, THOMAS A ","18,101","0","0"
"2016 Presidential Election","LACKAWANNA","Representative in Congress","17th Congressional District","Democratic","CARTWRIGHT, MATTHEW ALTON ","48,206","0","0"
"2016 Presidential Election","LACKAWANNA","Representative in Congress","17th Congressional District","Republican","CONNOLLY, MATTHEW ","19,673","0","0"
"2016 Presidential Election","LANCASTER","Representative in Congress","7th Congressional District","Democratic","BALCHUNIS, MARY ELLEN ","1,900","0","0"
"2016 Presidential Election","LANCASTER","Representative in Congress","7th Congressional District","Republican","MEEHAN, PATRICK  L ","7,340","0","0"
"2016 Presidential Election","LANCASTER","Representative in Congress","16th Congressional District","Democratic","HARTMAN, CHRISTINA M ","86,203","0","0"
"2016 Presidential Election","LANCASTER","Representative in Congress","16th Congressional District","Republican","SMUCKER, LLOYD K ","137,903","0","0"
"2016 Presidential Election","LANCASTER","Representative in Congress","16th Congressional District","Libertarian","HOUSE, SHAWN PATRICK ","7,926","0","0"
"2016 Presidential Election","LAWRENCE","Representative in Congress","3rd Congressional District","Republican","KELLY, GEORGE J JR","25,259","0","0"
"2016 Presidential Election","LAWRENCE","Representative in Congress","12th Congressional District","Democratic","MCCLELLAND, ERIN R ","2,809","0","0"
"2016 Presidential Election","LAWRENCE","Representative in Congress","12th Congressional District","Republican","ROTHFUS, KEITH JAMES ","4,822","0","0"
"2016 Presidential Election","LEBANON","Representative in Congress","6th Congressional District","Democratic","PARRISH, MICHAEL D ","8,338","0","0"
"2016 Presidential Election","LEBANON","Representative in Congress","6th Congressional District","Republican","COSTELLO, RYAN A ","16,511","0","0"
"2016 Presidential Election","LEBANON","Representative in Congress","15th Congressional District","Democratic","DAUGHERTY, RICHARD D ","8,943","0","0"
"2016 Presidential Election","LEBANON","Representative in Congress","15th Congressional District","Republican","DENT, CHARLES W ","25,108","0","0"
"2016 Presidential Election","LEBANON","Representative in Congress","15th Congressional District","Libertarian","RIZZO, PAUL ","1,538","0","0"
"2016 Presidential Election","LEHIGH","Representative in Congress","15th Congressional District","Democratic","DAUGHERTY, RICHARD D ","67,153","0","0"
"2016 Presidential Election","LEHIGH","Representative in Congress","15th Congressional District","Republican","DENT, CHARLES W ","84,949","0","0"
"2016 Presidential Election","LEHIGH","Representative in Congress","15th Congressional District","Libertarian","RIZZO, PAUL ","6,274","0","0"
"2016 Presidential Election","LUZERNE","Representative in Congress","11th Congressional District","Democratic","MARSICANO, MICHAEL PAUL ","33,005","0","0"
"2016 Presidential Election","LUZERNE","Representative in Congress","11th Congressional District","Republican","BARLETTA, LOU ","58,961","0","0"
"2016 Presidential Election","LUZERNE","Representative in Congress","17th Congressional District","Democratic","CARTWRIGHT, MATTHEW ALTON ","25,227","0","0"
"2016 Presidential Election","LUZERNE","Representative in Congress","17th Congressional District","Republican","CONNOLLY, MATTHEW ","14,340","0","0"
"2016 Presidential Election","LYCOMING","Representative in Congress","10th Congressional District","Democratic","MOLESEVICH, MICHAEL M ","13,087","0","0"
"2016 Presidential Election","LYCOMING","Representative in Congress","10th Congressional District","Republican","MARINO, THOMAS A ","37,297","0","0"
"2016 Presidential Election","McKEAN","Representative in Congress","5th Congressional District","Democratic","STRANO TAYLOR, KERITH ","3,710","0","0"
"2016 Presidential Election","McKEAN","Representative in Congress","5th Congressional District","Republican","THOMPSON, GLENN WILLIAM JR.","12,280","0","0"
"2016 Presidential Election","MERCER","Representative in Congress","3rd Congressional District","Republican","KELLY, GEORGE J JR","37,915","0","0"
"2016 Presidential Election","MIFFLIN","Representative in Congress","10th Congressional District","Democratic","MOLESEVICH, MICHAEL M ","3,681","0","0"
"2016 Presidential Election","MIFFLIN","Representative in Congress","10th Congressional District","Republican","MARINO, THOMAS A ","14,180","0","0"
"2016 Presidential Election","MONROE","Representative in Congress","10th Congressional District","Democratic","MOLESEVICH, MICHAEL M ","11,342","0","0"
"2016 Presidential Election","MONROE","Representative in Congress","10th Congressional District","Republican","MARINO, THOMAS A ","11,161","0","0"
"2016 Presidential Election","MONROE","Representative in Congress","17th Congressional District","Democratic","CARTWRIGHT, MATTHEW ALTON ","21,664","0","0"
"2016 Presidential Election","MONROE","Representative in Congress","17th Congressional District","Republican","CONNOLLY, MATTHEW ","20,488","0","0"
"2016 Presidential Election","MONTGOMERY","Representative in Congress","2nd Congressional District","Democratic","EVANS, DWIGHT ","27,547","0","0"
"2016 Presidential Election","MONTGOMERY","Representative in Congress","2nd Congressional District","Republican","JONES, JAMES A ","11,194","0","0"
"2016 Presidential Election","MONTGOMERY","Representative in Congress","6th Congressional District","Democratic","PARRISH, MICHAEL D ","36,680","0","0"
"2016 Presidential Election","MONTGOMERY","Representative in Congress","6th Congressional District","Republican","COSTELLO, RYAN A ","46,696","0","0"
"2016 Presidential Election","MONTGOMERY","Representative in Congress","7th Congressional District","Democratic","BALCHUNIS, MARY ELLEN ","34,720","0","0"
"2016 Presidential Election","MONTGOMERY","Representative in Congress","7th Congressional District","Republican","MEEHAN, PATRICK  L ","42,492","0","0"
"2016 Presidential Election","MONTGOMERY","Representative in Congress","8th Congressional District","Democratic","SANTARSIERO, STEVEN J ","17,028","0","0"
"2016 Presidential Election","MONTGOMERY","Representative in Congress","8th Congressional District","Republican","FITZPATRICK, BRIAN K ","25,143","0","0"
"2016 Presidential Election","MONTGOMERY","Representative in Congress","13th Congressional District","Democratic","BOYLE, BRENDAN F ","130,410","0","0"
"2016 Presidential Election","MONTOUR","Representative in Congress","11th Congressional District","Democratic","MARSICANO, MICHAEL PAUL ","2,871","0","0"
"2016 Presidential Election","MONTOUR","Representative in Congress","11th Congressional District","Republican","BARLETTA, LOU ","5,531","0","0"
"2016 Presidential Election","NORTHAMPTON","Representative in Congress","15th Congressional District","Democratic","DAUGHERTY, RICHARD D ","29,486","0","0"
"2016 Presidential Election","NORTHAMPTON","Representative in Congress","15th Congressional District","Republican","DENT, CHARLES W ","42,132","0","0"
"2016 Presidential Election","NORTHAMPTON","Representative in Congress","15th Congressional District","Libertarian","RIZZO, PAUL ","2,192","0","0"
"2016 Presidential Election","NORTHAMPTON","Representative in Congress","17th Congressional District","Democratic","CARTWRIGHT, MATTHEW ALTON ","30,944","0","0"
"2016 Presidential Election","NORTHAMPTON","Representative in Congress","17th Congressional District","Republican","CONNOLLY, MATTHEW ","31,616","0","0"
"2016 Presidential Election","NORTHUMBERLAND","Representative in Congress","10th Congressional District","Democratic","MOLESEVICH, MICHAEL M ","3,161","0","0"
"2016 Presidential Election","NORTHUMBERLAND","Representative in Congress","10th Congressional District","Republican","MARINO, THOMAS A ","8,537","0","0"
"2016 Presidential Election","NORTHUMBERLAND","Representative in Congress","11th Congressional District","Democratic","MARSICANO, MICHAEL PAUL ","7,273","0","0"
"2016 Presidential Election","NORTHUMBERLAND","Representative in Congress","11th Congressional District","Republican","BARLETTA, LOU ","16,796","0","0"
"2016 Presidential Election","PERRY","Representative in Congress","10th Congressional District","Democratic","MOLESEVICH, MICHAEL M ","2,259","0","0"
"2016 Presidential Election","PERRY","Representative in Congress","10th Congressional District","Republican","MARINO, THOMAS A ","8,805","0","0"
"2016 Presidential Election","PERRY","Representative in Congress","11th Congressional District","Democratic","MARSICANO, MICHAEL PAUL ","2,358","0","0"
"2016 Presidential Election","PERRY","Representative in Congress","11th Congressional District","Republican","BARLETTA, LOU ","7,317","0","0"
"2016 Presidential Election","PHILADELPHIA","Representative in Congress","1st Congressional District","Democratic","BRADY, ROBERT A ","183,274","0","0"
"2016 Presidential Election","PHILADELPHIA","Representative in Congress","1st Congressional District","Republican","WILLIAMS, DEBORAH L ","37,119","0","0"
"2016 Presidential Election","PHILADELPHIA","Representative in Congress","2nd Congressional District","Democratic","EVANS, DWIGHT ","294,967","0","0"
"2016 Presidential Election","PHILADELPHIA","Representative in Congress","2nd Congressional District","Republican","JONES, JAMES A ","23,937","0","0"
"2016 Presidential Election","PHILADELPHIA","Representative in Congress","13th Congressional District","Democratic","BOYLE, BRENDAN F ","108,906","0","0"
"2016 Presidential Election","PIKE","Representative in Congress","10th Congressional District","Democratic","MOLESEVICH, MICHAEL M ","8,912","0","0"
"2016 Presidential Election","PIKE","Representative in Congress","10th Congressional District","Republican","MARINO, THOMAS A ","16,369","0","0"
"2016 Presidential Election","POTTER","Representative in Congress","5th Congressional District","Democratic","STRANO TAYLOR, KERITH ","1,210","0","0"
"2016 Presidential Election","POTTER","Representative in Congress","5th Congressional District","Republican","THOMPSON, GLENN WILLIAM JR.","6,459","0","0"
"2016 Presidential Election","SCHUYLKILL","Representative in Congress","17th Congressional District","Democratic","CARTWRIGHT, MATTHEW ALTON ","23,262","0","0"
"2016 Presidential Election","SCHUYLKILL","Representative in Congress","17th Congressional District","Republican","CONNOLLY, MATTHEW ","38,280","0","0"
"2016 Presidential Election","SNYDER","Representative in Congress","10th Congressional District","Democratic","MOLESEVICH, MICHAEL M ","3,843","0","0"
"2016 Presidential Election","SNYDER","Representative in Congress","10th Congressional District","Republican","MARINO, THOMAS A ","12,034","0","0"
"2016 Presidential Election","SOMERSET","Representative in Congress","9th Congressional District","Democratic","HALVORSON, ART ","1,954","0","0"
"2016 Presidential Election","SOMERSET","Representative in Congress","9th Congressional District","Republican","SHUSTER, WILLIAM F ","7,832","0","0"
"2016 Presidential Election","SOMERSET","Representative in Congress","12th Congressional District","Democratic","MCCLELLAND, ERIN R ","6,112","0","0"
"2016 Presidential Election","SOMERSET","Representative in Congress","12th Congressional District","Republican","ROTHFUS, KEITH JAMES ","19,746","0","0"
"2016 Presidential Election","SULLIVAN","Representative in Congress","10th Congressional District","Democratic","MOLESEVICH, MICHAEL M ","786","0","0"
"2016 Presidential Election","SULLIVAN","Representative in Congress","10th Congressional District","Republican","MARINO, THOMAS A ","2,276","0","0"
"2016 Presidential Election","SUSQUEHANNA","Representative in Congress","10th Congressional District","Democratic","MOLESEVICH, MICHAEL M ","5,054","0","0"
"2016 Presidential Election","SUSQUEHANNA","Representative in Congress","10th Congressional District","Republican","MARINO, THOMAS A ","13,839","0","0"
"2016 Presidential Election","TIOGA","Representative in Congress","5th Congressional District","Democratic","STRANO TAYLOR, KERITH ","201","0","0"
"2016 Presidential Election","TIOGA","Representative in Congress","5th Congressional District","Republican","THOMPSON, GLENN WILLIAM JR.","868","0","0"
"2016 Presidential Election","TIOGA","Representative in Congress","10th Congressional District","Democratic","MOLESEVICH, MICHAEL M ","3,611","0","0"
"2016 Presidential Election","TIOGA","Representative in Congress","10th Congressional District","Republican","MARINO, THOMAS A ","13,373","0","0"
"2016 Presidential Election","UNION","Representative in Congress","10th Congressional District","Democratic","MOLESEVICH, MICHAEL M ","5,992","0","0"
"2016 Presidential Election","UNION","Representative in Congress","10th Congressional District","Republican","MARINO, THOMAS A ","11,164","0","0"
"2016 Presidential Election","VENANGO","Representative in Congress","5th Congressional District","Democratic","STRANO TAYLOR, KERITH ","6,086","0","0"
"2016 Presidential Election","VENANGO","Representative in Congress","5th Congressional District","Republican","THOMPSON, GLENN WILLIAM JR.","16,930","0","0"
"2016 Presidential Election","WARREN","Representative in Congress","5th Congressional District","Democratic","STRANO TAYLOR, KERITH ","5,139","0","0"
"2016 Presidential Election","WARREN","Representative in Congress","5th Congressional District","Republican","THOMPSON, GLENN WILLIAM JR.","12,709","0","0"
"2016 Presidential Election","WASHINGTON","Representative in Congress","9th Congressional District","Democratic","HALVORSON, ART ","8,110","0","0"
"2016 Presidential Election","WASHINGTON","Representative in Congress","9th Congressional District","Republican","SHUSTER, WILLIAM F ","10,967","0","0"
"2016 Presidential Election","WASHINGTON","Representative in Congress","18th Congressional District","Republican","MURPHY , TIMOTHY  F ","64,709","0","0"
"2016 Presidential Election","WAYNE","Representative in Congress","10th Congressional District","Democratic","MOLESEVICH, MICHAEL M ","6,641","0","0"
"2016 Presidential Election","WAYNE","Representative in Congress","10th Congressional District","Republican","MARINO, THOMAS A ","16,679","0","0"
"2016 Presidential Election","WESTMORELAND","Representative in Congress","9th Congressional District","Democratic","HALVORSON, ART ","2,080","0","0"
"2016 Presidential Election","WESTMORELAND","Representative in Congress","9th Congressional District","Republican","SHUSTER, WILLIAM F ","1,778","0","0"
"2016 Presidential Election","WESTMORELAND","Representative in Congress","12th Congressional District","Democratic","MCCLELLAND, ERIN R ","16,175","0","0"
"2016 Presidential Election","WESTMORELAND","Representative in Congress","12th Congressional District","Republican","ROTHFUS, KEITH JAMES ","31,183","0","0"
"2016 Presidential Election","WESTMORELAND","Representative in Congress","14th Congressional District","Democratic","DOYLE, MICHAEL F. JR.","4,434","0","0"
"2016 Presidential Election","WESTMORELAND","Representative in Congress","14th Congressional District","Republican","MCALLISTER, LEONARD FRANCIS JR","2,931","0","0"
"2016 Presidential Election","WESTMORELAND","Representative in Congress","18th Congressional District","Republican","MURPHY , TIMOTHY  F ","99,482","0","0"
"2016 Presidential Election","WYOMING","Representative in Congress","11th Congressional District","Democratic","MARSICANO, MICHAEL PAUL ","3,980","0","0"
"2016 Presidential Election","WYOMING","Representative in Congress","11th Congressional District","Republican","BARLETTA, LOU ","9,003","0","0"
"2016 Presidential Election","YORK","Representative in Congress","4th Congressional District","Democratic","BURKHOLDER, JOSHUA T ","62,969","0","0"
"2016 Presidential Election","YORK","Representative in Congress","4th Congressional District","Republican","PERRY, SCOTT ","141,076","0","0"
